Time,Temperature
274,0.6331132
275,0.4463225
276,0.3201831
277,-0.9183371
278,-1.090341
279,-1.3567659
280,-2.1728892
281,-2.3913877
282,-2.9410272
283,-3.2407022
284,-3.7171533
285,-2.9087036
286,-2.337746
287,-2.1501594
288,-1.8992726
289,-1.7703596
290,-1.6596171
291,-1.7435733
292,-0.9654588
293,-1.2933307
294,-1.7015605
295,-1.3475972
296,-1.648744
297,-1.8926499
298,-0.12726757
299,0.23525842
300,0.54560465
301,-0.13181883
302,0.2751175
303,0.21175323
304,-0.36935127
305,-0.07834792
306,0.26612794
307,-0.06600948
308,-0.13876031
309,-0.78232044
310,-2.14876
311,-3.0055761
312,-2.792146
313,-3.1943164
314,-3.32298
315,-2.9691393
316,-1.6148306
317,-1.2659956
318,-1.4132016
319,-1.2049102
320,-1.5774974
321,-1.1884707
322,-1.9033405
323,-2.3227048
324,-2.13497
325,-2.0535452
326,-1.65448
327,-0.999837
328,-0.9403397
329,-1.7810446
330,-2.5219083
331,-2.7488623
332,-2.4803126
333,-2.582653
334,-2.3914716
335,-2.537652
336,-2.740381
337,-3.0812964
338,-3.2990043
339,-3.2695172
340,-3.1543944
341,-3.3951054
342,-3.144735
343,-2.8412802
344,-2.4061117
345,-2.1741261
346,-1.4338582
347,-0.8159223
348,-1.6644831
349,-1.3882761
350,-2.155642
351,-1.9330157
352,-2.717005
353,-3.104425
354,-2.3627262
355,-2.601895
356,-2.3820624
357,-2.5670133
358,-2.2829869
359,-2.0098836
360,-2.1822379
361,-2.1497746
362,-2.8585396
363,-2.6162026
364,-2.0117357
365,-1.8588624
366,-1.6970649
367,-1.5078065
368,-1.5085603
369,-2.4084308
370,-2.9436443
371,-3.1922667
372,-3.978341
373,-3.5975182
374,-4.125802
375,-3.6831255
376,-3.9975517
377,-4.201612
378,-3.063395
379,-2.7610714
380,-2.5749903
381,-1.9359264
382,-1.3577892
383,-1.1854092
384,-0.60638016
385,-1.2567446
386,-1.8812201
387,-2.3618498
388,-3.509401
389,-2.9830546
390,-2.8552835
391,-3.1042264
392,-1.6653101
393,-2.1305132
394,-1.4633688
395,-1.5115008
396,-1.6290767
397,-2.4902244
398,-2.6068158
399,-3.0835721
400,-2.3832116
401,-1.7994393
402,-1.3513222
403,-2.0277715
404,-2.1019533
405,-2.39667
406,-2.6442146
407,-2.961424
408,-2.2016532
409,-1.7655017
410,-2.3479078
411,-3.224713
412,-4.21208
413,-4.0386634
414,-3.825664
415,-3.073456
416,-3.609862
417,-3.98817
418,-3.3060822
419,-2.5851095
420,-1.9509932
421,-2.4289696
422,-1.4728732
423,-1.6427661
424,-1.21945
425,-0.14131515
426,-0.30461195
427,-0.020627558
428,-1.3862942
429,-1.9705007
430,-1.626948
431,-2.0952103
432,-2.0878417
433,-0.83791524
434,-1.4603136
435,-0.7171696
436,-0.3709426
437,1.1078311
438,0.4893013
439,-0.3072136
440,0.1505
441,-0.10808608
442,-0.016867116
443,0.20577526
444,0.52881014
445,0.10164814
446,0.4675069
447,0.096026845
448,-0.14599068
449,-0.75424784
450,-0.85288924
451,1.1050003
452,0.7145518
453,0.6530532
454,1.3577762
455,1.9096186
456,0.9088004
457,1.2618301
458,0.8652826
459,1.0181534
460,0.36701593
461,0.70344317
462,0.5539793
463,-0.4974387
464,-0.6014803
465,-0.9381577
466,-1.2419804
467,0.45512968
468,0.6849896
469,1.4597327
470,1.5914578
471,0.9438806
472,0.6862662
473,-0.10046191
474,0.045256034
475,-0.31720218
476,0.25102
477,-0.33046862
478,-0.5655221
